instance_name,formulation,num_facilities,num_customers,total_demand,total_capacity,capacity_slack,num_vars,num_binary_vars,num_constraints,objective_value,root_lp_objective,lp_gap_fraction,best_bound,mip_gap,runtime_sec,mip_nodes,cuts_applied,status,time_limit_sec,gurobi_version,seed,instance_source,capacity_slack_param
random_f30_c100_s0,indicator,30,100,1784.0,2156.0,1.2085201793721974,3030,3030,160,4259.216,192.36143490739977,0.954836421795138,4258.796711601405,9.844262385265256e-05,19.32179093360901,55874.0,113,OPTIMAL,,13.0.2,0,random,1.2
random_f30_c100_s1,loose_big_m,30,100,1801.0,2177.0,1.2087729039422543,3030,3030,160,4191.162,369.3335486357096,0.911878006949932,4190.744448082049,9.96267665033328e-05,91.84272599220276,288407.0,132,OPTIMAL,,13.0.2,1,random,1.2
random_f30_c100_s1,tight_big_m,30,100,1801.0,2177.0,1.2087729039422543,3030,3030,130,4191.162,4136.331243976073,0.0130824711676445,4190.777456904888,9.175095000201588e-05,1118.8711569309237,2331268.0,125,OPTIMAL,,13.0.2,1,random,1.2
random_f30_c100_s1,indicator,30,100,1801.0,2177.0,1.2087729039422543,3030,3030,160,4191.162,191.0289608814084,0.9544210028432668,4190.748438437921,9.867467830614504e-05,198.47264790534973,241920.0,124,OPTIMAL,,13.0.2,1,random,1.2
random_f30_c100_s2,loose_big_m,30,100,1600.0,1936.0,1.21,3030,3030,160,4144.59,370.6323973701057,0.9105744120962254,4144.182036281994,9.843282882159716e-05,11.305365085601808,35287.0,116,OPTIMAL,,13.0.2,2,random,1.2
random_f30_c100_s2,tight_big_m,30,100,1600.0,1936.0,1.21,3030,3030,130,4144.59,4056.6271819991966,0.021223527055946,4144.264343075645,7.857397821133491e-05,9.631594181060793,26515.0,133,OPTIMAL,,13.0.2,2,random,1.2
random_f30_c100_s2,indicator,30,100,1600.0,1936.0,1.21,3030,3030,160,4144.59,198.26178553616265,0.9521637157025996,4144.204114032163,9.31059448190452e-05,4.0765509605407715,10290.0,135,OPTIMAL,,13.0.2,2,random,1.2
random_f30_c100_s3,loose_big_m,30,100,1808.0,2187.0,1.2096238938053097,3030,3030,160,3963.395,344.8007371571359,0.9130036907355598,3963.002,9.915741428750582e-05,120.63456201553343,264030.0,224,OPTIMAL,,13.0.2,3,random,1.2
random_f30_c100_s3,tight_big_m,30,100,1808.0,2187.0,1.2096238938053097,3030,3030,130,3963.395,3871.0629267830222,0.0232962077251894,3963.000403568685,9.956020818383404e-05,168.8824770450592,518601.0,322,OPTIMAL,,13.0.2,3,random,1.2
random_f30_c100_s3,indicator,30,100,1808.0,2187.0,1.2096238938053097,3030,3030,160,3963.395,172.0982178141724,0.9565780807075316,3963.000310840412,9.958360435633331e-05,206.14771485328671,548817.0,270,OPTIMAL,,13.0.2,3,random,1.2
random_f30_c100_s4,loose_big_m,30,100,1833.0,2213.0,1.2073104200763776,3030,3030,160,3972.346,366.48985077907497,0.9077396956913936,3971.948781742907,9.999588582978184e-05,2011.1752610206604,10793698.0,112,OPTIMAL,,13.0.2,4,random,1.2
random_f30_c100_s4,tight_big_m,30,100,1833.0,2213.0,1.2073104200763776,3030,3030,130,3972.346,3900.694533910333,0.0180375692574782,3971.948775600844,9.999743203540928e-05,4280.645155906677,15515540.0,109,OPTIMAL,,13.0.2,4,random,1.2
random_f30_c100_s4,indicator,30,100,1833.0,2213.0,1.2073104200763776,3030,3030,160,3972.346,193.91395899410304,0.9511840209805232,3971.9488567973335,9.997699159803408e-05,9117.382437944412,4820811.0,110,OPTIMAL,,13.0.2,4,random,1.2
